x,y,z,mach
-9.4195514,-3.3354152,-327.83129,3.85104
-5.2859018,-8.9729406,-328.95496,5.0
-3.8350681,-12.083318,-330.42853,5.0
-36.59226,-11.903691,-319.94197,2.25358
-29.229781,-22.893365,-341.36171,1.76453
-30.926655,-22.687106,-338.88526,1.88565
-25.850745,-23.30332,-334.44094,3.19126
-30.575424,1.8359932,-308.93435,2.29619
-26.604465,2.8957035,-313.45935,2.70751
-25.269074,48.508039,-276.09381,5.0
-26.627197,54.305691,-272.92649,3.15926
-50.799732,70.120338,-265.89384,5.0
-52.496606,68.783053,-261.8948,5.0
-48.447644,69.411079,-262.05259,5.0
-53.105912,77.395455,-275.25674,5.0
-53.257012,74.591847,-263.63402,4.06539
-66.20799,75.016066,-266.04494,4.00415
-65.915595,74.794541,-261.17496,4.40187
-62.136296,74.903297,-269.52516,5.0
-65.87548,76.452636,-269.2916,3.88835
-61.699486,74.190918,-271.44757,5.0
-61.0933,71.137927,-268.39124,5.0
-66.317638,70.490624,-267.48152,5.0
-62.12025,73.612145,-262.42789,3.30672
-62.26823,71.810749,-261.47538,5.0
-60.315511,69.66737,-265.60947,5.0
-59.268949,69.592154,-264.88383,5.0
-57.592576,73.641897,-267.14276,4.89901
-54.708737,70.643507,-265.96828,4.40776
-52.916033,62.898039,-287.89169,5.0
-79.592209,73.88426,-262.69577,5.0
-80.522882,73.592867,-267.49667,5.0
-73.996582,71.946806,-262.17918,2.60851
-75.721982,70.231323,-267.4307,5.0
-72.181146,73.207315,-266.75543,4.9567
-70.801182,74.385811,-264.60303,3.36343
-68.305125,71.610618,-261.70136,5.0
-68.500352,70.184968,-266.3262,5.0
-74.393277,75.557175,-265.32198,3.12518
-79.185708,75.350582,-269.28358,4.74373
-76.165032,74.74696,-268.56775,4.74259
11.999745,40.010522,-327.52107,1.7187
5.1012647,80.626179,-353.07936,2.43529
9.1408673,78.463634,-360.04336,1.94345
20.843812,32.884389,-307.40774,3.12921
21.530674,35.63373,-304.3991,4.06624
18.444476,34.392164,-305.0093,3.27278
23.27524,32.38072,-301.19434,5.0
14.303696,33.25512,-307.6413,2.47712
12.97499,37.858341,-312.51352,3.74042
-9.2943028,40.986659,-297.87771,1.59583
-10.620779,46.073046,-293.68032,2.12987
-17.065512,45.440563,-291.4927,1.8631
-22.605424,40.255114,-289.30018,3.33552
-21.96982,46.674328,-273.56922,3.41351
-21.767016,47.450669,-274.45978,3.25859
-17.171149,40.092313,-266.81516,5.0
-12.037738,34.18635,-262.16224,2.06098
-12.945233,36.464783,-264.44747,2.13427
-14.969269,35.575005,-266.12562,1.82198
-14.688017,36.907053,-265.84303,2.10396
-15.379782,37.346649,-271.06692,3.35517
-16.40584,37.453846,-268.82493,4.04059
-15.00359,34.000817,-269.25015,2.90959
-12.034172,26.904326,-274.1919,1.52748
-14.841792,30.340415,-271.14448,3.25913
-17.960973,30.41786,-274.2231,1.9393
-14.467828,29.374753,-275.67973,3.94722
-13.565236,25.7967,-279.17599,5.0
-11.138711,26.910901,-285.07917,2.86976
-14.896171,27.752094,-282.71237,2.95447
-16.490528,26.909563,-286.05531,3.50056
-22.563971,37.05314,-285.26593,2.98076
-24.404814,46.478098,-288.61198,5.0
-22.082143,45.704097,-280.21275,4.40966
